new delhi,Agra,E-20- Shopping Arcade- Sadar Bazaar- Agra Cantt- Agra,North Indian- Mughlai,700,No,No,No,No,3.5,Good,71
Time2Eat - Mama Chicken,Agra,Main Market- Sadar Bazaar- Agra Cantt- Agra,North Indian,500,No,No,No,No,3.6,Good,94
Chokho Jeeman Marwari Jain Bhojanalya,Agra,1/48- Delhi Gate- Station Road- Raja Mandi- Civil Lines- Agra,Rajasthani,400,No,No,No,No,4,Very Good,87
Pinch Of Spice,Agra,23/453- Opposite Sanjay Cinema- Wazipura Road- Sanjay Place- Civil Lines- Agra,North Indian- Chinese- Mughlai,1000,No,No,No,No,4.2,Very Good,177
MoMo Cafe,Agra,Courtyard by Marriott Agra- Phase 2- Fatehabad Road- Tajganj- Agra,North Indian- European,2000,No,No,No,No,4,Very Good,45
Peshawri - ITC Mughal,Agra,ITC Mughal- Fatehabad Road- Tajganj- Agra,North Indian- Mughlai,2500,No,No,No,No,4.3,Very Good,133
Taj Bano - ITC Mughal,Agra,ITC Mughal- Fatehabad Road- Tajganj- Agra,Mughlai,2500,No,No,No,No,4,Very Good,41
G Thal,Agra,3/20- KPS Tower- Near Tulsi Talkies- Bypass Road- Khandari- Agra,Rajasthani- Gujarati- Mughlai,800,No,No,No,No,3.6,Good,59
Dawat-e-Nawab - Radisson Blu,Agra,Radisson Blu- Taj East Gate Road- Tajganj- Agra,North Indian- Mughlai,3600,No,No,No,No,3.8,Good,46
The Latitude - Radisson Blu,Agra,Radisson Blu- Taj East Gate Road- Tajganj- Agra,North Indian- Chinese- Continental,800,No,No,No,No,3.9,Good,103
Dasaprakash Restaurant,Agra,Meher Cinema Complex- Gwalior Road- Rakabganj- Agra,South Indian- Desserts,550,No,No,No,No,4.1,Very Good,121
The Charcoal Chimney,Agra,Hotel Samovar- Fatehabad Road- Tajganj- Agra,North Indian- Chinese- Continental- Mughlai,1100,No,No,No,No,3.4,Average,70
Sheroes Hangout,Agra,Opposite The Gateway Hotel- Fatehabad Road- Tajganj- Agra,Cafe- North Indian- Chinese,4000,No,No,No,No,4.9,Excellent,77
Bon Barbecue,Agra,Parador Hotel- 3A-3B- Phase 1- Fatehabad Road- Taj Nagri- Tajganj- Agra,North Indian- Chinese- Continental,1500,No,No,No,No,3.8,Good,57
Chapter 1 Cafe,Agra,1374 K/1375 K- 2nd floor- Dinesh Nagar- Fatehbad Road- Tajganj- Agra,Cafe- Italian- Mexican- North Indian- Continental,1200,No,No,No,No,3.9,Good,98
Pind Balluchi,Agra,Opposite Saga Emporium- Fatehabad Road- Tajganj- Agra,North Indian- Mughlai,900,No,No,No,No,3.7,Good,175
Pizza Hut,Agra,8- Handicraft Nagar- Fatehabad Road- Tajganj- Agra,Italian- Pizza,700,No,No,No,No,4.4,Very Good,134
Tea'se Me - Rooftop Tea Boutique,Agra,Near Purani Mandi Crossing-Fatehabad Road- Tajganj- Agra,Chinese- Italian- Continental- North Indian,1000,No,No,No,No,4.2,Very Good,166
Thaaliwala,Agra,Next To ITC Mughal Hotel- Fatehabad Road- Tajganj- Agra,North Indian- Fast Food,700,No,No,No,No,4.1,Very Good,168
650 - The Global Kitchen,Ahmedabad,Shreekunj Mandapam- Beside Golden Tulip Bunglows & Tulip Citadel- Manekbaug- Ambavadi- Ahmedabad,Chinese- Italian- North Indian- Mexican- Mediterranean- Thai,900,No,No,No,No,4.2,Very Good,1582
Patang - The Revolving Restaurant,Ahmedabad,Chinubhai Tower- Nehru Bridge Corner- Ashram Road- Ahmedabad,Continental- Chinese- North Indian,1800,No,No,No,No,3.7,Good,1315
Huber & Holly,Ahmedabad,7 B- Circle  B- Opposite Rajpath Club- Sarkhej- Gandhinagar Highway- Bodakdev- Ahmedabad,Ice Cream- Desserts- Continental,300,No,Yes,No,No,4.5,Excellent,217
@Mango,Ahmedabad,Opposite Sindhu Bhawan- Bodakdev- Ahmedabad,North Indian- Continental- Mexican- Italian,800,No,No,No,No,4.1,Very Good,769
Fozzie's Pizzaiolo,Ahmedabad,Ground Floor- Maruti Crystal- Opposite Rajpath Club- Service Road- Bodakdev- Ahmedabad,Pizza- Italian- Beverages- Desserts,900,No,Yes,No,No,4.3,Very Good,731
La Pino'z Pizza,Ahmedabad,Shop 10-  Circle B- Nyay Marg- Bodakdev- Ahmedabad,Pizza- Italian,500,No,Yes,No,No,4.4,Very Good,113
Mocha,Ahmedabad,6-9- Ground Floor- Devashish Business Park- Opposite Krishna Complex- Bodakdev- Ahmedabad,Cafe- Continental- Desserts,1000,No,Yes,No,No,4.4,Very Good,944
Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,10th Floor- Balaji Heights Buliding- Behind Tanishq Showroom- C G Road- Ahmedabad,North Indian- Cafe- Italian- Mexican- Continental,1000,No,Yes,No,No,3.8,Good,63
MoMo Cafí© - Courtyard By Marriott,Ahmedabad,Courtyard By Marriott- Ramdevnagar Cross Road- Satellite- Ahmedabad,North Indian- South Indian- Asian- Continental,1400,No,No,No,No,3.6,Good,375
Cryo Lab,Ahmedabad,Ground Floor- Arjun Avenue- Opposite Samartheshwar Mahadev- Law Garden- Ahmedabad,Desserts- Ice Cream,350,No,No,No,No,4.6,Excellent,166
Swati Snacks,Ahmedabad,Near Law Garden- Ellis Bridge- Ahmedabad,Fast Food- Street Food- South Indian,450,No,No,No,No,4.4,Very Good,697
Brick Kitchen,Ahmedabad,At Five Petals Hotel & Banquets- Near Chanakyapuri Bridge- Ghatlodia- Ahmedabad,North Indian- Chinese- Continental,900,No,No,No,No,4.3,Very Good,325
Kabir Restaurant,Ahmedabad,JB Tower- Opposite Doordarshan Kendra- Drive In Road- Gurukul- Ahmedabad,North Indian- Chinese- Continental- Desserts- Fast Food- Sandwich,600,No,Yes,No,No,3.8,Good,432
